Fecha,INPC,INVERSION,IGAE
Jun 2009,93.417141911415,91.565691153479,95.322814138281
Jul 2009,93.671601856385,93.327596880701,96.380338171797
Ago 2009,93.895719694096,89.603802320991,94.355072605522
Sep 2009,94.366711949963,90.139406569708,94.667418170625
Oct 2009,94.65220359554,94.896226057068,98.637134122791
Nov 2009,95.143194058464,95.109630458849,99.587334238238
Dic 2009,95.536951859488,100.603148774904,100.344030468982
Ene 2010,96.575479439774,84.099908564299,95.305840009725
Feb 2010,97.134050050685,82.535538712331,93.961996193002
Mar 2010,97.823643397489,88.768005599953,100.778056307832
Abr 2010,97.511947204733,86.857085551019,97.285833190937
May 2010,96.897519532732,89.251078207129,100.291993881139
Jun 2010,96.867177425472,91.505450051485,101.155707276364
Jul 2010,97.077503396247,91.338513601815,100.62122608983
Ago 2010,97.347134394847,93.558746508393,100.728349391527
Sep 2010,97.857433471482,94.249362122852,99.879601547867
Oct 2010,98.461517243282,98.378240140583,102.945233877406
Nov 2010,99.250412032025,98.22546485976,104.836583593085
Dic 2010,99.742092088296,103.891282503046,104.659656686494
Ene 2011,100.228,91.95354222095,99.926111429128
Feb 2011,100.604,88.048003586643,98.102146272716
Mar 2011,100.797,94.61196323008,105.240112714524
Abr 2011,100.789,92.100413300918,99.892084987147
May 2011,100.046,97.128467441631,104.337871935782
Jun 2011,100.041,98.907388033226,104.327904965819
Jul 2011,100.521,99.442204256514,104.160170396461
Ago 2011,100.68,101.988714894606,105.505023304707
Sep 2011,100.927,101.890030114475,104.186331824095
Oct 2011,101.608,106.111776127535,107.454735897897
Nov 2011,102.707,105.58165644112,109.740713879134
Dic 2011,103.551,111.099993352235,108.777942939392
Ene 2012,104.284,95.953381500348,104.592634541526
Feb 2012,104.496,95.794575463507,104.428019562933
Mar 2012,104.556,99.56436753859,109.029673641425
Abr 2012,104.228,98.531536914269,104.01307066353
May 2012,103.899,102.929763795297,109.349126711911
Jun 2012,104.378,101.6532050775,109.105550164942
Jul 2012,104.964,104.376967399891,108.599792438378
Ago 2012,105.279,107.4318658239,109.073065906991
Sep 2012,105.743,104.611744919434,106.218406686979
Oct 2012,106.278,113.327863051222,111.662475315915
Nov 2012,107,112.206598580347,114.650930590909
Dic 2012,107.246,109.309775315279,111.27213605758
Ene 2013,107.678,96.787578508661,108.090564441033
Feb 2013,108.208,96.059814443587,105.283936666461
Mar 2013,109.002,96.802439942303,107.811161735066
Abr 2013,109.074,104.043698227066,108.555550435343
May 2013,108.711,102.339439358615,110.920222523814
Jun 2013,108.645,99.974863620575,108.778508086284
Jul 2013,108.608999999999,104.47965215834,111.034593662066
Ago 2013,108.918,101.395789587251,110.503451610771
Sep 2013,109.328,99.603813920681,107.545079776168
Oct 2013,109.848,107.319512893469,113.510420342514
Nov 2013,110.872,107.323620330438,115.01278032406
Dic 2013,111.508,110.092139340117,113.221830600262
Ene 2014,112.505,94.216578908504,109.10029618732
Feb 2014,112.79,94.630891010597,106.903005454751
Mar 2014,113.099,99.226130604907,111.422050611647
Abr 2014,112.888,99.684829676307,109.042257257616
May 2014,112.527,102.779809708406,112.812145756823
Jun 2014,112.721999999999,102.045620472605,111.896236692352
Jul 2014,113.032,107.753051789138,113.866130820412
Ago 2014,113.438,105.423994059763,111.866380090283
Sep 2014,113.938999999999,105.19871799258,110.786639427285
Oct 2014,114.569,114.61007104055,116.395760900433
